,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_criterion,param_max_depth,param_max_features,param_min_samples_leaf,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
135,0.28954877853393557,0.015400506563877411,0.012775707244873046,0.00036714106025959297,True,entropy,5,0.3,30,250,"{'bootstrap': True, 'criterion': 'entropy', 'max_depth': 5, 'max_features': 0.3, 'min_samples_leaf': 30, 'n_estimators': 250}",0.8148148148148148,0.898989898989899,0.9143356643356643,0.9597902097902098,0.9527972027972028,0.9081455581455581,0.0519494188099976,160
136,0.11816496849060058,0.0062562759658404635,0.0069768428802490234,8.406437597169648e-05,True,entropy,5,0.3,50,100,"{'bootstrap': True, 'criterion': 'entropy', 'max_depth': 5, 'max_features': 0.3, 'min_samples_leaf': 50, 'n_estimators': 100}",0.8097643097643098,0.8720538720538721,0.8863636363636364,0.9449300699300699,0.9493006993006993,0.8924825174825175,0.0515288728601191,276
137,0.17316751480102538,0.004358644216619752,0.009107065200805665,0.0006001672471667949,True,entropy,5,0.3,50,150,"{'bootstrap': True, 'criterion': 'entropy', 'max_depth': 5, 'max_features': 0.3, 'min_samples_leaf': 50, 'n_estimators': 150}",0.8063973063973064,0.8855218855218855,0.8933566433566433,0.951923076923077,0.9493006993006993,0.8972999222999224,0.053113702576223026,256
138,0.23460731506347657,0.017094500493838344,0.011320400238037109,0.0009610903925209774,True,entropy,5,0.3,50,200,"{'bootstrap': True, 'criterion': 'entropy', 'max_depth': 5, 'max_features': 0.3, 'min_samples_leaf': 50, 'n_estimators': 200}",0.8181818181818181,0.8855218855218855,0.9038461538461539,0.9545454545454545,0.9493006993006993,0.9022792022792023,0.049595191948904375,221
139,0.2857569694519043,0.005121357345267632,0.01258835792541504,0.0002434425600129785,True,entropy,5,0.3,50,250,"{'bootstrap': True, 'criterion': 'entropy', 'max_depth': 5, 'max_features': 0.3, 'min_samples_leaf': 50, 'n_estimators': 250}",0.8249158249158249,0.8888888888888888,0.9020979020979021,0.9545454545454545,0.9493006993006993,0.9039497539497539,0.04710255643422578,211
140,0.12135744094848633,0.0010945538083809978,0.007456254959106445,0.000999469672725187,True,entropy,5,0.5,10,100,"{'bootstrap': True, 'criterion': 'entropy', 'max_depth': 5, 'max_features': 0.5, 'min_samples_leaf': 10, 'n_estimators': 100}",0.8164983164983164,0.9107744107744108,0.9213286713286714,0.9720279720279721,0.9475524475524475,0.9136363636363637,0.053034032945595354,53
141,0.1890427589416504,0.01308660807416701,0.00893106460571289,0.00012478570603829123,True,entropy,5,0.5,10,150,"{'bootstrap': True, 'criterion': 'entropy', 'max_depth': 5, 'max_features': 0.5, 'min_samples_leaf': 10, 'n_estimators': 150}",0.8282828282828283,0.9225589225589226,0.9195804195804196,0.9702797202797203,0.9475524475524475,0.9176508676508677,0.048328789026328416,2
142,0.24353175163269042,0.004265356304524231,0.010993051528930663,0.00032058430618903995,True,entropy,5,0.5,10,200,"{'bootstrap': True, 'criterion': 'entropy', 'max_depth': 5, 'max_features': 0.5, 'min_samples_leaf': 10, 'n_estimators': 200}",0.8282828282828283,0.9175084175084175,0.9213286713286715,0.9650349650349651,0.9458041958041958,0.9155918155918157,0.04694008326905304,17
143,0.30228090286254883,0.005040003583018533,0.013055181503295899,0.00026075091725774754,True,entropy,5,0.5,10,250,"{'bootstrap': True, 'criterion': 'entropy', 'max_depth': 5, 'max_features': 0.5, 'min_samples_leaf': 10, 'n_estimators': 250}",0.8265993265993266,0.9175084175084175,0.9230769230769231,0.9650349650349651,0.9475524475524475,0.915954415954416,0.04784310383140795,11
144,0.12196664810180664,0.006988567221768299,0.007003974914550781,0.0001632247373368995,True,entropy,5,0.5,20,100,"{'bootstrap': True, 'criterion': 'entropy', 'max_depth': 5, 'max_features': 0.5, 'min_samples_leaf': 20, 'n_estimators': 100}",0.8282828282828283,0.9006734006734007,0.9178321678321678,0.9772727272727273,0.951048951048951,0.915022015022015,0.050814481211416684,26
